"Week","Day","Date","Time","Winner/tie","Pts","Column","Loser/tie","Pts2","Home","HomePTS","Visitor","VisitorPTS","Column2","YdsW","TOW","YdsL","TOL"
"1","Thu","September 5","9:13PM","Denver Broncos","49","","Baltimore Ravens","27","Denver Broncos","49","Baltimore Ravens","27","boxscore","510","2","393","2"
"1","Sun","September 8","1:02PM","Miami Dolphins","23","@","Cleveland Browns","10","Cleveland Browns","10","Miami Dolphins","23","boxscore","275","1","291","3"
"1","Sun","September 8","1:02PM","New England Patriots","23","@","Buffalo Bills","21","Buffalo Bills","21","New England Patriots","23","boxscore","431","3","286","2"
"1","Sun","September 8","1:02PM","Chicago Bears","24","","Cincinnati Bengals","21","Chicago Bears","24","Cincinnati Bengals","21","boxscore","323","1","340","3"
"1","Sun","September 8","1:02PM","Indianapolis Colts","21","","Oakland Raiders","17","Indianapolis Colts","21","Oakland Raiders","17","boxscore","274","0","372","2"
"1","Sun","September 8","1:02PM","Tennessee Titans","16","@","Pittsburgh Steelers","9","Pittsburgh Steelers","9","Tennessee Titans","16","boxscore","229","0","194","2"
"1","Sun","September 8","1:02PM","Detroit Lions","34","","Minnesota Vikings","24","Detroit Lions","34","Minnesota Vikings","24","boxscore","469","2","330","4"
"1","Sun","September 8","1:03PM","New York Jets","18","","Tampa Bay Buccaneers","17","New York Jets","18","Tampa Bay Buccaneers","17","boxscore","304","2","250","2"
"1","Sun","September 8","1:03PM","Kansas City Chiefs","28","@","Jacksonville Jaguars","2","Jacksonville Jaguars","2","Kansas City Chiefs","28","boxscore","292","0","178","2"
"1","Sun","September 8","1:03PM","New Orleans Saints","23","","Atlanta Falcons","17","New Orleans Saints","23","Atlanta Falcons","17","boxscore","419","1","367","2"
"1","Sun","September 8","1:04PM","Seattle Seahawks","12","@","Carolina Panthers","7","Carolina Panthers","7","Seattle Seahawks","12","boxscore","370","1","253","2"
"1","Sun","September 8","4:23PM","St. Louis Rams","27","","Arizona Cardinals","24","St. Louis Rams","27","Arizona Cardinals","24","boxscore","366","2","390","2"
"1","Sun","September 8","4:26PM","San Francisco 49ers","34","","Green Bay Packers","28","San Francisco 49ers","34","Green Bay Packers","28","boxscore","494","0","385","2"
"1","Sun","September 8","8:30PM","Dallas Cowboys","36","","New York Giants","31","Dallas Cowboys","36","New York Giants","31","boxscore","331","1","478","6"
"1","Mon","September 9","7:10PM","Philadelphia Eagles","33","@","Washington Redskins","27","Washington Redskins","27","Philadelphia Eagles","33","boxscore","443","2","382","3"
"1","Mon","September 9","10:25PM","Houston Texans","31","@","San Diego Chargers","28","San Diego Chargers","28","Houston Texans","31","boxscore","449","1","263","1"
"2","Thu","September 12","8:29PM","New England Patriots","13","","New York Jets","10","New England Patriots","13","New York Jets","10","boxscore","232","0","318","4"
"2","Sun","September 15","1:02PM","Kansas City Chiefs","17","","Dallas Cowboys","16","Kansas City Chiefs","17","Dallas Cowboys","16","boxscore","313","0","318","2"
"2","Sun","September 15","1:02PM","Baltimore Ravens","14","","Cleveland Browns","6","Baltimore Ravens","14","Cleveland Browns","6","boxscore","296","1","259","0"
"2","Sun","September 15","1:02PM","Buffalo Bills","24","","Carolina Panthers","23","Buffalo Bills","24","Carolina Panthers","23","boxscore","436","2","308","1"
"2","Sun","September 15","1:02PM","San Diego Chargers","33","@","Philadelphia Eagles","30","Philadelphia Eagles","30","San Diego Chargers","33","boxscore","539","2","511","0"
